Year,Round,Event,Driver,LapNumber,LapTime,GapToWinner,TyreLife,Stint,StintLap,TireDegradation,Compound_SOFT,Compound_MEDIUM,Compound_HARD,TrackTemp
2024,1,Bahrain Grand Prix,HAM,43.0,94.935,36.679,10.0,3.0,10.0,-0.06099999999999284,False,False,True,30.0
2024,1,Bahrain Grand Prix,HAM,44.0,95.169,37.463,11.0,3.0,11.0,0.23399999999999466,False,False,True,30.0
2024,1,Bahrain Grand Prix,HAM,45.0,95.184,38.101,12.0,3.0,12.0,0.015000000000000568,False,False,True,30.0
2024,1,Bahrain Grand Prix,HAM,46.0,95.285,39.036,13.0,3.0,13.0,0.10099999999999909,False,False,True,30.0
2024,1,Bahrain Grand Prix,HAM,47.0,95.226,40.128,14.0,3.0,14.0,-0.0589999999999975,False,False,True,30.0
2024,1,Bahrain Grand Prix,HAM,48.0,96.165,41.115,15.0,3.0,15.0,0.9390000000000072,False,False,True,30.0
2024,1,Bahrain Grand Prix,HAM,49.0,95.914,42.93,16.0,3.0,16.0,-0.2510000000000048,False,False,True,30.0
2024,1,Bahrain Grand Prix,HAM,50.0,95.612,44.441,17.0,3.0,17.0,-0.3020000000000067,False,False,True,30.0
2024,1,Bahrain Grand Prix,HAM,51.0,95.532,45.27,18.0,3.0,18.0,-0.0799999999999983,False,False,True,30.0
2024,1,Bahrain Grand Prix,HAM,52.0,95.479,46.462,19.0,3.0,19.0,-0.05299999999999727,False,False,True,30.0
2024,1,Bahrain Grand Prix,HAM,53.0,95.55,47.035,20.0,3.0,20.0,0.07099999999999795,False,False,True,30.0
2024,1,Bahrain Grand Prix,HAM,54.0,95.974,46.985,21.0,3.0,21.0,0.4240000000000066,False,False,True,30.0
2024,1,Bahrain Grand Prix,HAM,55.0,95.633,47.625,22.0,3.0,22.0,-0.3410000000000082,False,False,True,30.0
2024,1,Bahrain Grand Prix,HAM,56.0,95.706,48.074,23.0,3.0,23.0,0.0730000000000075,False,False,True,30.0
2024,1,Bahrain Grand Prix,HAM,57.0,96.138,49.109,24.0,3.0,24.0,0.43200000000000216,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,1.0,98.271,0.0,4.0,1.0,1.0,0.0,True,False,False,30.0
2024,1,Bahrain Grand Prix,LEC,2.0,96.862,0.987,5.0,1.0,2.0,-1.409000000000006,True,False,False,30.0
2024,1,Bahrain Grand Prix,LEC,3.0,98.062,1.553,6.0,1.0,3.0,1.2000000000000028,True,False,False,30.0
2024,1,Bahrain Grand Prix,LEC,4.0,97.752,2.862,7.0,1.0,4.0,-0.3100000000000023,True,False,False,30.0
2024,1,Bahrain Grand Prix,LEC,5.0,98.131,3.967,8.0,1.0,5.0,0.3790000000000049,True,False,False,30.0
2024,1,Bahrain Grand Prix,LEC,6.0,97.782,4.925,9.0,1.0,6.0,-0.34900000000000375,True,False,False,30.0
2024,1,Bahrain Grand Prix,LEC,7.0,98.957,5.615,10.0,1.0,7.0,1.1749999999999972,True,False,False,30.0
2024,1,Bahrain Grand Prix,LEC,8.0,98.136,7.534,11.0,1.0,8.0,-0.820999999999998,True,False,False,30.0
2024,1,Bahrain Grand Prix,LEC,9.0,97.844,8.646,12.0,1.0,9.0,-0.2920000000000016,True,False,False,30.0
2024,1,Bahrain Grand Prix,LEC,10.0,97.884,9.261,13.0,1.0,10.0,0.04000000000000625,True,False,False,30.0
2024,1,Bahrain Grand Prix,LEC,11.0,101.737,10.185,14.0,1.0,11.0,3.8529999999999944,True,False,False,30.0
2024,1,Bahrain Grand Prix,LEC,12.0,117.471,14.837,1.0,2.0,1.0,0.0,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,13.0,96.432,35.263,2.0,2.0,2.0,-21.039,False,False,True,30.0
